Instance;Mode;Nodes;Edges;Kstar;DSatur_K;DSatur_Dev;DSatur_Time;TS_Best;TS_Worst;TS_Mean;TS_Std;TS_Time;TS_Dev;HS_Best;HS_Worst;HS_Mean;HS_Std;HS_Time;HS_Dev
myciel3.col;greedy;11;20;4;4;0;0.0029;4;4;4;0;0.0057;0;4;4;4;0;0.0092;0
myciel3.col;random;11;20;4;4;0;0.0029;4;4;4;0;0.003;0;4;4;4;0;0.0035;0
myciel4.col;greedy;23;71;5;5;0;0.0028;5;5;5;0;0.0054;0;5;5;5;0;0.0062;0
myciel4.col;random;23;71;5;5;0;0.0028;5;5;5;0;0.0044;0;5;5;5;0;0.0061;0
david.col;greedy;87;406;11;11;0;0.0029;11;11;11;0;0.0262;0;11;11;11;0;0.0339;0
david.col;random;87;406;11;11;0;0.0029;11;12;11.1;0.3162;0.0832;0.9091;11;13;11.9;0.5676;0.1071;8.1818
huck.col;greedy;74;301;11;11;0;0.0041;11;11;11;0;0.0202;0;11;11;11;0;0.0264;0
huck.col;random;74;301;11;11;0;0.0041;11;11;11;0;0.0405;0;11;11;11;0;0.0532;0
myciel5.col;greedy;47;236;6;6;0;0.0014;6;6;6;0;0.0094;0;6;6;6;0;0.0125;0
myciel5.col;random;47;236;6;6;0;0.0014;6;6;6;0;0.0157;0;6;6;6;0;0.0284;0
games120.col;greedy;120;638;9;9;0;0.0027;9;9;9;0;0.064;0;9;9;9;0;0.0816;0
games120.col;random;120;638;9;9;0;0.0027;9;9;9;0;0.0762;0;9;9;9;0;0.1451;0
miles250.col;greedy;128;387;8;8;0;0.0035;8;8;8;0;0.0669;0;8;8;8;0;0.093;0
miles250.col;random;128;387;8;8;0;0.0035;8;9;8.1;0.3162;0.0693;1.25;8;10;8.9;0.7379;0.1434;11.25
myciel6.col;greedy;95;755;7;7;0;0.0014;7;7;7;0;0.0271;0;7;7;7;0;0.0389;0
myciel6.col;random;95;755;7;7;0;0.0014;7;7;7;0;0.1276;0;9;10;9.5;0.527;0.1547;35.7143
le450_5a.col;greedy;450;5714;5;10;100;0.0142;9;11;9.4;0.6992;0.5946;88;11;11;11;0;0.3443;120
le450_5a.col;random;450;5714;5;10;100;0.0142;9;11;10;0.4714;8.6143;100;20;21;20.1;0.3162;1.6513;302
fpsol2.i.1.col;greedy;496;11654;65;65;0;0.0279;65;65;65;0;0.3768;0;65;65;65;0;0.4563;0
fpsol2.i.1.col;random;496;11654;65;65;0;0.0279;117;128;120.7;3.6225;27.3824;85.6923;93;101;96.7;3.1287;12.2182;48.7692
queen8_8.col;greedy;64;728;9;12;33.3333;0.0019;9;10;9.9;0.3162;0.0443;10;11;12;11.9;0.3162;0.0349;32.2222
queen8_8.col;random;64;728;9;12;33.3333;0.0019;9;10;9.9;0.3162;0.0827;10;14;16;15;0.4714;0.0703;66.6667
queen13_13.col;greedy;169;3328;13;17;30.7692;0.0058;15;16;15.9;0.3162;0.2677;22.3077;19;20;19.8;0.4216;0.2144;52.3077
queen13_13.col;random;169;3328;13;17;30.7692;0.0058;15;16;15.6;0.5164;1.7231;20;28;30;28.9;0.8756;0.8032;122.3077
DSJC250.5.col;greedy;250;15668;28;37;32.1429;0.0583;36;38;36.6;0.8433;0.8273;30.7143;37;39;38.2;0.6325;0.3555;36.4286
DSJC250.5.col;random;250;15668;28;37;32.1429;0.0583;34;45;36.7;3.1287;44.4715;31.0714;92;96;93.9;1.5951;3.1454;235.3571
DSJC500.1.col;greedy;500;12458;12;16;33.3333;0.0462;15;16;15.5;0.527;1.0503;29.1667;16;17;16.9;0.3162;0.5802;40.8333
DSJC500.1.col;random;500;12458;12;16;33.3333;0.0462;15;16;15.4;0.5164;36.0639;28.3333;37;39;38;0.6667;3.9601;216.6667
flat300_28_0.col;greedy;300;21695;28;42;50;0.1032;38;42;38.9;1.1972;1.3496;38.9286;42;44;43;0.6667;0.4063;53.5714
flat300_28_0.col;random;300;21695;28;42;50;0.1032;37;41;39.2;1.3166;90.3267;40;108;112;109.1;1.2867;3.9878;289.6429
le450_15b.col;greedy;450;8169;15;16;6.6667;0.0303;16;17;16.9;0.3162;0.4558;12.6667;17;17;17;0;0.5163;13.3333
le450_15b.col;random;450;8169;15;16;6.6667;0.0303;17;19;17.9;0.5676;23.1125;19.3333;33;36;34.4;0.8433;4.4375;129.3333
le450_25c.col;greedy;450;17343;25;29;16;0.0634;28;29;28.9;0.3162;0.5185;15.6;29;29;29;0;0.4407;16
le450_25c.col;random;450;17343;25;29;16;0.0634;31;34;31.9;0.9944;102.9882;27.6;67;71;69.2;1.1353;8.0807;176.8
