Instance;K;Alpha;Beta;Mean_FinalConflicts;Std_FinalConflicts;FeasibleRate_Pct;Mean_ConvIter;Mean_Time
le450_5a.col;9;0.2;0;21.8;2.16794833886788;0;NaN;0.37507745
le450_5a.col;9;0.2;5;6.4;6.58027355054484;20;405;0.233807083333333
le450_5a.col;9;0.2;10;2.6;5.81377674149945;80;400.5;0.129426275
le450_5a.col;9;0.4;0;11.6;6.18869937870632;0;NaN;0.251384308333333
le450_5a.col;9;0.4;5;2.4;5.3665631459995;80;429.75;0.133820683333333
le450_5a.col;9;0.4;10;2.6;5.81377674149945;80;305.5;0.112848308333333
le450_5a.col;9;0.6;0;6.4;4.56070170039655;0;NaN;0.211881466666667
le450_5a.col;9;0.6;5;2.6;5.81377674149945;80;589.25;0.145554491666667
le450_5a.col;9;0.6;10;2.4;5.3665631459995;80;318;0.111815375
DSJC500.1.col;15;0.2;0;15.6;2.79284800875379;0;NaN;0.432028591666667
DSJC500.1.col;15;0.2;5;8.2;7.42967024840268;20;214;0.323884883333333
DSJC500.1.col;15;0.2;10;1.6;3.57770876399966;80;317.5;0.148466908333333
DSJC500.1.col;15;0.4;0;13.4;5.3665631459995;0;NaN;0.395041983333333
DSJC500.1.col;15;0.4;5;3.8;5.49545266561363;60;598.666666666667;0.2399727
DSJC500.1.col;15;0.4;10;0;0;100;296.4;0.0976976916666667
DSJC500.1.col;15;0.6;0;7.6;3.20936130717624;0;NaN;0.310054225
DSJC500.1.col;15;0.6;5;1.6;3.57770876399966;80;376.5;0.152721166666667
DSJC500.1.col;15;0.6;10;0;0;100;280.8;0.0879762916666667
